# FIELD ID RA DEC
HYDRA-0165 iDR3.HYDRA-0165.134114 159.54009914378332 -46.928856456444365
HYDRA-0165 iDR3.HYDRA-0165.135519 159.99622088328135 -46.91998680395454
HYDRA-0166 iDR3.HYDRA-0166.019742 162.3331769631997 -47.855075825958316
HYDRA-0166 iDR3.HYDRA-0166.020671 162.73016459083098 -47.84851140874317
HYDRA-0166 iDR3.HYDRA-0166.093936 163.33641098390646 -47.31783389638186
HYDRA-0166 iDR3.HYDRA-0166.136314 162.00237405126757 -47.010843837853
HYDRA-0167 iDR3.HYDRA-0167.071103 163.9001232281867 -47.43463223766105
HYDRA-0167 iDR3.HYDRA-0167.106298 165.4168103432357 -47.1645453705902
HYDRA-D-0003 iDR3.HYDRA-D-0003.093937 158.9995223500505 -35.64324433445779
SPLUS-n01s01 iDR3.SPLUS-n01s01.018502 150.159443951125 -0.196455996729761
SPLUS-n02n24 iDR3.SPLUS-n02n24.010023 181.694890101738 0.894271562713679
SPLUS-n02s28 iDR3.SPLUS-n02s28.032069 186.997806574682 -1.19048553899189
SPLUS-n03s21 iDR3.SPLUS-n03s21.024190 178.095986276547 -2.88183009466085
SPLUS-n04s41 iDR3.SPLUS-n04s41.013908 205.822830175902 -4.49001902489998
SPLUS-n04s41 iDR3.SPLUS-n04s41.023519 205.839751784955 -4.27465623998609
SPLUS-n04s43 iDR3.SPLUS-n04s43.027649 207.965269210876 -3.67990816626182
SPLUS-n05s03 iDR3.SPLUS-n05s03.042012 153.310669303553 -5.21016721787253
SPLUS-n06s02 iDR3.SPLUS-n06s02.011409 151.374598042901 -7.17845944969351
SPLUS-n07s02 iDR3.SPLUS-n07s02.042046 152.065718475634 -7.49215374787367
SPLUS-n08s01 iDR3.SPLUS-n08s01.004059 150.637536823578 -10.0940268474221
SPLUS-n08s01 iDR3.SPLUS-n08s01.037992 150.786300965101 -8.78389024231451
SPLUS-n08s01 iDR3.SPLUS-n08s01.051070 151.82990974405 -9.07916874613716
SPLUS-n08s37 iDR3.SPLUS-n08s37.041208 199.910778426171 -8.78534964376776
SPLUS-n09s01 iDR3.SPLUS-n09s01.007662 149.685977875771 -11.3299386399891
SPLUS-n09s37 iDR3.SPLUS-n09s37.023990 199.270330421055 -10.7634912590926
SPLUS-n09s40 iDR3.SPLUS-n09s40.014347 204.454884473364 -11.2321776383146
SPLUS-n09s40 iDR3.SPLUS-n09s40.027039 204.182943683767 -10.9519343675692
SPLUS-n09s43 iDR3.SPLUS-n09s43.002889 208.434683029873 -11.477965437515
SPLUS-n09s43 iDR3.SPLUS-n09s43.037587 207.762762772511 -10.6329572502101
SPLUS-n09s44 iDR3.SPLUS-n09s44.044777 210.023782655544 -10.5354161830559
SPLUS-n10s01 iDR3.SPLUS-n10s01.004904 151.279112080415 -12.7986058319975
SPLUS-n10s43 iDR3.SPLUS-n10s43.056183 209.300572774265 -11.7947251450418
SPLUS-n11s01 iDR3.SPLUS-n11s01.035395 150.519204447964 -13.3982146665059
SPLUS-n11s01 iDR3.SPLUS-n11s01.041473 149.867503795243 -13.2521317506912
SPLUS-n11s03 iDR3.SPLUS-n11s03.012441 153.281040128611 -13.9447624928278
SPLUS-n11s28 iDR3.SPLUS-n11s28.016822 187.998577426259 -13.9258292022032
SPLUS-n11s28 iDR3.SPLUS-n11s28.017401 186.941654547948 -13.9082814297742
SPLUS-n11s28 iDR3.SPLUS-n11s28.034248 187.528888800389 -13.4906867108317
SPLUS-n11s28 iDR3.SPLUS-n11s28.034697 187.75370480926 -13.4793436561042
SPLUS-n11s29 iDR3.SPLUS-n11s29.045317 188.318321680732 -12.831652671731
SPLUS-n11s34 iDR3.SPLUS-n11s34.027582 195.347724108408 -13.6948019873467
SPLUS-n11s39 iDR3.SPLUS-n11s39.034549 203.617296584134 -13.3516245815637
SPLUS-n11s39 iDR3.SPLUS-n11s39.040435 202.683556933678 -13.2096306986299
SPLUS-n12s30 iDR3.SPLUS-n12s30.041246 191.414328663762 -14.5148166763795
SPLUS-n12s33 iDR3.SPLUS-n12s33.013388 195.957855672277 -15.2780361570457
SPLUS-n12s36 iDR3.SPLUS-n12s36.004911 200.831632328331 -15.4621453444019
SPLUS-n12s40 iDR3.SPLUS-n12s40.025316 205.637673479873 -14.89898035282
SPLUS-n12s41 iDR3.SPLUS-n12s41.060782 206.673567372616 -14.1688794561127
SPLUS-n12s41 iDR3.SPLUS-n12s41.066169 207.830392704059 -14.2640825331402
SPLUS-n13s04 iDR3.SPLUS-n13s04.018321 154.922627934118 -16.524175478198
SPLUS-n14s02 iDR3.SPLUS-n14s02.042677 151.789946710938 -17.1311529058486
SPLUS-n15s05 iDR3.SPLUS-n15s05.026613 155.327622731214 -18.7549820155081
SPLUS-n15s07 iDR3.SPLUS-n15s07.022489 158.137400053128 -19.0753793880798
SPLUS-n15s16 iDR3.SPLUS-n15s16.050251 171.502242853375 -18.1969314115155
SPLUS-n15s18 iDR3.SPLUS-n15s18.058370 174.280665581467 -18.4871950968627
SPLUS-n16s01 iDR3.SPLUS-n16s01.007731 151.905152739833 -20.7645549938647
SPLUS-n16s02 iDR3.SPLUS-n16s02.006996 152.793679310485 -20.7054085215219
SPLUS-n16s06 iDR3.SPLUS-n16s06.048343 158.902947747444 -19.6086995979004
SPLUS-n16s11 iDR3.SPLUS-n16s11.031916 165.019888303975 -20.1646926805136
SPLUS-n16s14 iDR3.SPLUS-n16s14.003885 169.795377397034 -20.8297995319856
SPLUS-n16s15 iDR3.SPLUS-n16s15.044777 170.970830750453 -19.9060044436249
SPLUS-n16s18 iDR3.SPLUS-n16s18.005320 176.16450882973 -20.8181468214132
SPLUS-n17s03 iDR3.SPLUS-n17s03.004320 154.392532496397 -22.190933043432
SPLUS-n17s04 iDR3.SPLUS-n17s04.035683 154.652931393357 -21.0366585441473
SPLUS-n17s07 iDR3.SPLUS-n17s07.074391 160.20063408089 -20.8695412519958
SPLUS-n17s17 iDR3.SPLUS-n17s17.048302 174.922396781416 -21.1694735000655
SPLUS-n17s51 iDR3.SPLUS-n17s51.022329 223.017075443829 -21.9084759062955
SPLUS-n17s51 iDR3.SPLUS-n17s51.073650 224.301000206049 -21.1192844257476
SPLUS-n18s16 iDR3.SPLUS-n18s16.024261 172.198254598839 -23.0888040498658
SPLUS-n18s17 iDR3.SPLUS-n18s17.039295 173.362081116147 -22.8525316339048
SPLUS-n18s20 iDR3.SPLUS-n18s20.053949 178.810773768582 -22.3978101685284
SPLUS-n19s06 iDR3.SPLUS-n19s06.057041 171.836919664673 -23.8210435708551
SPLUS-n20s34 iDR3.SPLUS-n20s34.040376 214.204184863272 -25.5020679296481
SPLUS-n20s34 iDR3.SPLUS-n20s34.064828 214.547944156062 -24.9882024700632
SPLUS-n20s35 iDR3.SPLUS-n20s35.023284 215.973860204339 -25.9389441073696
SPLUS-s02s01 iDR3.SPLUS-s02s01.068082 324.669899536186 -0.844009585093601
SPLUS-s02s01 iDR3.SPLUS-s02s01.068082 324.669899536186 -0.844009585093601
SPLUS-s02s02 iDR3.SPLUS-s02s02.051685 325.431386723856 -0.832426275363858
SPLUS-s02s02 iDR3.SPLUS-s02s02.051685 325.431386723856 -0.832426275363858
SPLUS-s02s12 iDR3.SPLUS-s02s12.015982 339.049838140111 -1.37181611101814
SPLUS-s02s12 iDR3.SPLUS-s02s12.015982 339.049838140111 -1.37181611101814
SPLUS-s02s20 iDR3.SPLUS-s02s20.021847 350.621132278237 -1.37008479432731
SPLUS-s02s20 iDR3.SPLUS-s02s20.021847 350.621132278237 -1.37008479432731
SPLUS-s17s22 iDR3.SPLUS-s17s22.051703 315.07633603383 -21.2310937498746
SPLUS-s17s22 iDR3.SPLUS-s17s22.064264 314.368927112189 -20.9863931528588
SPLUS-s17s23 iDR3.SPLUS-s17s23.042573 315.698130696182 -21.5026526544418
SPLUS-s17s30 iDR3.SPLUS-s17s30.047491 326.631465940729 -21.2272317273898
SPLUS-s19s23 iDR3.SPLUS-s19s23.062311 317.653043426807 -23.8248307308332
SPLUS-s20s24 iDR3.SPLUS-s20s24.001278 317.72371698105 -26.2768215919418
SPLUS-s20s25 iDR3.SPLUS-s20s25.027234 319.25290053176 -25.7131093748083
SPLUS-s20s32 iDR3.SPLUS-s20s32.041611 329.885196010837 -25.2276120473108
SPLUS-s21s10 iDR3.SPLUS-s21s10.017213 14.3756307802014 -27.0967014198405
SPLUS-s21s10 iDR3.SPLUS-s21s10.017229 14.36634291777 -27.0969783432184
SPLUS-s21s24 iDR3.SPLUS-s21s24.023123 320.181308574447 -26.9652939074576
SPLUS-s21s32 iDR3.SPLUS-s21s32.000007 332.040634245397 -27.6308138435377
SPLUS-s21s32 iDR3.SPLUS-s21s32.056292 332.833307750494 -26.4798297872404
SPLUS-s22s21 iDR3.SPLUS-s22s21.069762 315.850933953914 -27.7728162583797
SPLUS-s22s24 iDR3.SPLUS-s22s24.021333 319.713192914166 -28.451423177457
SPLUS-s23s01 iDR3.SPLUS-s23s01.020846 359.866517656456 -29.4944634949535
SPLUS-s23s03 iDR3.SPLUS-s23s03.019078 2.70304861879176 -29.791327943411
SPLUS-s23s22 iDR3.SPLUS-s23s22.024073 317.329678724446 -29.7248356354155
SPLUS-s23s25 iDR3.SPLUS-s23s25.012151 320.432902190419 -30.1476351359301
